country,iso2c,iso3c,year,maternal_mortality_rate,GDP_per_capita,military_expenditure,population,health_expenditure,births_by_skilled
Australia,AU,AUS,2000,7,45892.6103705542,1.82984191251005,19028802,7.59961653,99.3
Australia,AU,AUS,2001,6,46232.0382470989,1.87009387891872,19274701,7.68272257,99.3
Australia,AU,AUS,2002,6,47534.5452094921,1.87396462061393,19495210,7.87807608,99.3
Australia,AU,AUS,2003,6,48453.013800548,1.84628968871455,19720737,7.88292599,99.3
Australia,AU,AUS,2004,5,49959.0724111333,1.82741076940486,19932722,8.09003353,99.3
Australia,AU,AUS,2005,5,50911.1341449746,1.80249267959937,20176844,7.97402954,99.4
Australia,AU,AUS,2006,5,51605.3146015121,1.82233092604478,20450966,7.98143196,99.3
Australia,AU,AUS,2007,5,52586.4093896127,1.81534224491167,20827622,8.05890179,99.2
Australia,AU,AUS,2008,5,53382.3100594756,1.79854717158338,21249199,8.25374031,99.1
Australia,AU,AUS,2009,5,53271.5901893686,1.92690895601887,21691653,8.55233955,99.1
Australia,AU,AUS,2010,5,53606.5814449061,1.85679136240993,22031750,8.42325497,99.1
Australia,AU,AUS,2011,6,54131.1047090858,1.7570782279711,22340024,8.53956795,99.1
Australia,AU,AUS,2012,6,55269.9192801293,1.67101138426002,22733465,8.67481709,99.2
Australia,AU,AUS,2013,6,55727.7341473215,1.63970803440996,23128129,8.75082779,99
Australia,AU,AUS,2014,5,56318.6359789436,1.77227997605856,23475686,9.84760189,99.8
Australia,AU,AUS,2015,5,56708.96119674,1.95091845038356,23815995,10.18361282,98.8
Australia,AU,AUS,2016,5,57354.5498137682,2.08449685196637,24190907,10.09023094,98.8
Australia,AU,AUS,2017,5,57701.5238528086,1.9992079977286,24594202,10.1257143,99.4
Australia,AU,AUS,2018,4,58479.5035467805,1.8901120808278,24966643,10.07391548,98.7
Australia,AU,AUS,2019,5,58868.4806341229,1.8740255612767,25340217,10.22989082,98.8
Australia,AU,AUS,2020,3,58115.9306675109,2.01178828555605,25655289,10.6489954,NA
Australia,AU,AUS,2021,NA,59339.6843453605,1.97842253315993,25688079,NA,NA
Australia,AU,AUS,2022,NA,60797.9586475866,NA,25978935,NA,NA
China,CN,CHN,2000,58,2193.89698162019,1.8303437176953,1262645000,4.50828123,96.6
China,CN,CHN,2001,55,2359.572509032,1.97618599097992,1271850000,4.25330067,97.3
China,CN,CHN,2002,54,2557.89174634267,2.04968606201025,1280400000,4.38285255,96.7
China,CN,CHN,2003,43,2797.17680600598,1.98340627424446,1288400000,4.41762781,95.9
China,CN,CHN,2004,49,3061.83333342101,1.92776497620508,1296075000,4.29347467,97.3
China,CN,CHN,2005,46,3390.716337509,1.85334243982047,1303720000,4.17605019,97.5
China,CN,CHN,2006,43,3800.7659955099,1.85464883982163,1311020000,3.94742203,97.8
China,CN,CHN,2007,39,4319.03162430702,1.73981285883451,1317885000,3.67491412,98.4
China,CN,CHN,2008,38,4711.64369663046,1.71233436060411,1324655000,3.900002,99.1
China,CN,CHN,2009,34,5128.90439706266,1.88613315154918,1331260000,4.34958458,99.3
China,CN,CHN,2010,33,5647.06902367691,1.73947515006373,1337705000,4.23068333,99.6
China,CN,CHN,2011,32,6152.6971958122,1.66557605252678,1345035000,4.34274387,99.7
China,CN,CHN,2012,28,6591.66284020379,1.69336816326385,1354190000,4.56584787,99.8
China,CN,CHN,2013,28,7056.42346206424,1.70285509558016,1363240000,4.71490669,99.9
China,CN,CHN,2014,26,7532.78569686615,1.72868906768382,1371860000,4.77790594,99.9
China,CN,CHN,2015,26,8016.44601585644,1.75071776735043,1379860000,4.93827963,99.9
China,CN,CHN,2016,23,8516.52918957832,1.77069571932743,1387790000,4.97955608,99.9
China,CN,CHN,2017,22,9053.22920002159,1.74645507017874,1396215000,5.06592178,NA
China,CN,CHN,2018,20,9619.20998022803,1.73953368321942,1402760000,5.16790485,NA
China,CN,CHN,2019,20,10155.5114163468,1.7278278625043,1407745000,5.3502779,NA
China,CN,CHN,2020,23,10358.1705411086,1.79883350497496,1411100000,5.59359694,NA
China,CN,CHN,2021,NA,11223.1533663847,1.73634051023639,1412360000,NA,NA
China,CN,CHN,2022,NA,11560.3301997039,NA,1412175000,NA,NA
Indonesia,ID,IDN,2000,299,1845.22780079212,0.684483763500435,214072421,1.85297656,66.9
Indonesia,ID,IDN,2001,284,1885.67975143169,0.572792652704213,217112437,2.11850214,NA
Indonesia,ID,IDN,2002,286,1943.64492799924,0.700120208801041,220115092,1.98062706,68.4
Indonesia,ID,IDN,2003,269,2009.48978401006,0.909285036773652,223080121,2.24837184,66.2
Indonesia,ID,IDN,2004,284,2083.88250903836,0.945714621727218,225938595,2.12002277,71.5
Indonesia,ID,IDN,2005,276,2174.91522157705,0.750789394004931,228805144,2.53189397,NA
Indonesia,ID,IDN,2006,254,2264.93573339716,0.65870277762871,231797427,2.61946416,NA
Indonesia,ID,IDN,2007,251,2377.25499304141,0.71236193115127,234858289,2.82385564,73
Indonesia,ID,IDN,2008,256,2487.61129670116,0.578945804493387,237936543,2.54842305,74.86
Indonesia,ID,IDN,2009,241,2569.87421268795,0.571133891996423,240981299,2.62324095,NA
Indonesia,ID,IDN,2010,219,2695.86817017123,0.617587091951932,244016173,2.7908783,82.2
Indonesia,ID,IDN,2011,236,2826.48044082736,0.653776702606807,247099697,2.98942471,NA
Indonesia,ID,IDN,2012,207,2959.51447827557,0.711549473406383,250222695,2.91427088,83.1
Indonesia,ID,IDN,2013,194,3086.32311706567,0.918769839183066,253275918,2.86934805,87.4
Indonesia,ID,IDN,2014,194,3203.48428713851,0.777855178232831,256229761,2.96433568,NA
Indonesia,ID,IDN,2015,194,3322.58167907656,0.882266734481239,259091970,2.92428517,NA
Indonesia,ID,IDN,2016,194,3453.04943043202,0.792220213496852,261850182,3.02147198,92.6
Indonesia,ID,IDN,2017,194,3591.78002859126,0.865191376221992,264498852,2.90417194,90.9
Indonesia,ID,IDN,2018,181,3741.30526695799,0.718949726860769,267066843,2.86757827,93.6
Indonesia,ID,IDN,2019,158,3892.42166201675,0.728504561914753,269582878,2.90491366,94.7
Indonesia,ID,IDN,2020,173,3780.12163455478,0.859788806116358,271857970,3.41433048,NA
Indonesia,ID,IDN,2021,NA,3892.96237157954,0.695925939497677,273753191,NA,NA
Indonesia,ID,IDN,2022,NA,4073.61049438787,NA,275501339,NA,NA
"Korea, Rep.",KR,KOR,2000,16,16992.4790763689,2.45731751955534,47008111,3.89759398,99.9
"Korea, Rep.",KR,KOR,2001,15,17680.845491777,2.42787774091322,47370164,4.42762327,NA
"Korea, Rep.",KR,KOR,2002,17,18936.9516520974,2.31547437727618,47644736,4.16491032,NA
"Korea, Rep.",KR,KOR,2003,13,19431.9711103534,2.32866461778874,47892330,4.4238739,99.9
"Korea, Rep.",KR,KOR,2004,13,20361.0692543545,2.33106488784499,48082519,4.38896465,NA
"Korea, Rep.",KR,KOR,2005,12,21193.3575135298,2.46728273718568,48184561,4.61782169,NA
"Korea, Rep.",KR,KOR,2006,11,22192.1851207944,2.48836866984537,48438292,4.94396782,NA
"Korea, Rep.",KR,KOR,2007,10,23360.9057353821,2.46963885628269,48683638,5.11490774,NA
"Korea, Rep.",KR,KOR,2008,9,23882.7304951493,2.48940276894302,49054708,5.39896774,NA
"Korea, Rep.",KR,KOR,2009,9,23948.4722438582,2.60351410605304,49307835,5.78228998,99.9
"Korea, Rep.",KR,KOR,2010,8,25451.0041554666,2.46271920274076,49554112,5.91734409,NA
"Korea, Rep.",KR,KOR,2011,10,26186.8975422978,2.47295558071308,49936638,6.00844383,NA
"Korea, Rep.",KR,KOR,2012,9,26675.4401708559,2.49929988050229,50199853,6.13262033,99.8
"Korea, Rep.",KR,KOR,2013,7,27394.6503074507,2.50300902333872,50428893,6.24789429,NA
"Korea, Rep.",KR,KOR,2014,6,28094.9177029868,2.52993578083201,50746659,6.47438097,NA
"Korea, Rep.",KR,KOR,2015,6,28732.2310762599,2.4949812140441,51014947,6.65271664,100
"Korea, Rep.",KR,KOR,2016,6,29461.7840071118,2.45957788108271,51217803,6.91432714,NA
"Korea, Rep.",KR,KOR,2017,6,30307.395236491,2.42148886884081,51361911,7.10694885,NA
"Korea, Rep.",KR,KOR,2018,6,31053.6379289101,2.49684357635785,51585058,7.5438838,NA
